main_step,sub_step_number,sub_step_name,sub_step_description,estimated_time_minutes,requires_judgment,requires_system_access,requires_external_data,status,assigned_to
Refresh customer lifetime value,2,Gather customer metrics,Collect all CLV input data,10,No,No,No,Not Started,Human
Refresh customer lifetime value,3,Calculate CLV,Compute customer lifetime value,15,Yes,No,No,Not Started,Human
Refresh customer lifetime value,4,Verify calculations,Check CLV accuracy,10,Yes,No,No,Not Started,Human
Refresh customer lifetime value,5,Update dashboard,Record CLV metrics in system,5,No,Yes,No,Not Started,Pip
Generate category report,1,Access sales system,Open sales analytics platform,2,No,Yes,No,Not Started,Pip
Generate category report,2,Download sales data,Export sales by category,5,No,Yes,No,Not Started,Pip
Generate category report,3,Analyze trends,Review category performance,15,Yes,No,No,Not Started,Human
Generate category report,4,Prepare report,Create category performance report,10,Yes,No,No,Not Started,Human
Generate category report,5,Distribute report,Share report with stakeholders,5,No,Yes,No,Not Started,Pip
Update return rate metrics,1,Access returns system,Open returns management platform,2,No,Yes,No,Not Started,Pip
Update return rate metrics,2,Download return data,Export return transactions,5,No,Yes,No,Not Started,Pip
Update return rate metrics,3,Calculate rates,Compute return rates by product/category,15,Yes,No,No,Not Started,Human
Update return rate metrics,4,Verify calculations,Check rate accuracy,10,Yes,No,No,Not Started,Human
Update return rate metrics,5,Update dashboard,Record return metrics in system,5,No,Yes,No,Not Started,Pip
Calculate inventory turnover,1,Access inventory system,Open inventory management platform,2,No,Yes,No,Not Started,Pip
Calculate inventory turnover,2,Download inventory data,Export inventory movement data,5,No,Yes,No,Not Started,Pip
Calculate inventory turnover,3,Compute turnover,Calculate inventory turnover metrics,15,Yes,No,No,Not Started,Human
Calculate inventory turnover,4,Verify calculations,Check turnover accuracy,10,Yes,No,No,Not Started,Human
Calculate inventory turnover,5,Update dashboard,Record turnover metrics in system,5,No,Yes,No,Not Started,Pip
Update channel profitability,1,Access channel systems,Log into all sales channels,5,No,Yes,No,Not Started,Pip
Update channel profitability,2,Download channel data,Export channel performance metrics,10,No,Yes,No,Not Started,Pip
Update channel profitability,3,Calculate profitability,Compute channel profitability metrics,15,Yes,No,No,Not Started,Human
Update channel profitability,4,Verify calculations,Check profitability accuracy,10,Yes,No,No,Not Started,Human
Update channel profitability,5,Update reporting,Record channel metrics in system,5,No,Yes,No,Not Started,Pip
Generate daily P&L,1,Access financial system,Open financial reporting platform,2,No,Yes,No,Not Started,Pip
Generate daily P&L,2,Gather financial data,Collect all P&L components,10,No,No,No,Not Started,Pip
Generate daily P&L,3,Prepare statement,Create daily profit and loss statement,15,Yes,No,No,Not Started,Human
Generate daily P&L,4,Review accuracy,Verify statement accuracy,10,Yes,No,No,Not Started,Human
Generate daily P&L,5,Distribute report,Share P&L with stakeholders,5,No,Yes,No,Not Started,Pip
Compare to budget,1,Access budget system,Open budget management platform,2,No,Yes,No,Not Started,Pip
Compare to budget,2,Download actuals,Export actual performance data,5,No,Yes,No,Not Started,Pip
Compare to budget,3,Calculate variances,Compute budget vs actual variances,15,Yes,No,No,Not Started,Human
Compare to budget,4,Analyze differences,Review significant variances,20,Yes,No,No,Not Started,Human
Compare to budget,5,Update reporting,Record variance analysis in system,5,No,Yes,No,Not Started,Pip
Distribute daily dashboard,1,Access dashboard,Open financial dashboard platform,2,No,Yes,No,Not Started,Pip
Distribute daily dashboard,2,Refresh data,Update all dashboard metrics,10,No,No,No,Not Started,Human
Distribute daily dashboard,3,Verify accuracy,Check all dashboard calculations,15,Yes,No,No,Not Started,Human
Distribute daily dashboard,4,Prepare distribution,Set up dashboard distribution,5,No,No,No,Not Started,Human
Distribute daily dashboard,5,Send to stakeholders,Share dashboard with leadership,5,No,Yes,No,Not Started,Pip
Verify system integrations,1,Access integration logs,Open integration monitoring system,2,No,Yes,No,Not Started,Pip
Verify system integrations,2,Review error logs,Check for integration failures,15,Yes,No,No,Not Started,Human
Verify system integrations,3,Test connections,Verify all system connections,10,No,Yes,No,Not Started,Human
Verify system integrations,4,Document issues,Record any integration problems,5,Yes,No,No,Not Started,Human
Verify system integrations,5,Update status,Record integration status in system,5,No,Yes,No,Not Started,Pip
Review exception reports,1,Access reporting system,Open exception reporting platform,2,No,Yes,No,Not Started,Pip
Review exception reports,2,Download reports,Export all exception reports,5,No,Yes,No,Not Started,Pip
Review exception reports,3,Analyze exceptions,Review all flagged transactions,20,Yes,No,No,Not Started,Human
Review exception reports,4,Document findings,Record exception analysis results,10,Yes,No,No,Not Started,Human
Review exception reports,5,Update tracking,Record exception status in system,5,No,Yes,No,Not Started,Pip
Confirm balanced entries,1,Access general ledger,Open general ledger system,2,No,Yes,No,Not Started,Pip
Confirm balanced entries,2,Run trial balance,Generate trial balance report,5,No,Yes,No,Not Started,Human
Confirm balanced entries,3,Review balances,Check for unbalanced entries,15,Yes,No,No,Not Started,Human
Confirm balanced entries,4,Investigate differences,Look into any balancing issues,20,Yes,No,No,Not Started,Human
Confirm balanced entries,5,Document status,Record balancing verification,5,No,Yes,No,Not Started,Pip
Verify proper cutoff,1,Access transaction logs,Open transaction monitoring system,2,No,Yes,No,Not Started,Pip
Verify proper cutoff,2,Review cutoff times,Check all system cutoff times,10,Yes,No,No,Not Started,Human
Verify proper cutoff,3,Analyze transactions,Review cutoff period transactions,15,Yes,No,No,Not Started,Human
Verify proper cutoff,4,Document findings,Record cutoff verification results,5,Yes,No,No,Not Started,Human
Verify proper cutoff,5,Update system,Record cutoff status in system,5,No,Yes,No,Not Started,Pip
Ensure reconciliation completion,1,Access reconciliation system,Open reconciliation tracking platform,2,No,Yes,No,Not Started,Pip
Ensure reconciliation completion,2,Review status,Check all reconciliation statuses,15,Yes,No,No,Not Started,Human
Ensure reconciliation completion,3,Follow up items,Address outstanding reconciliation items,20,Yes,No,No,Not Started,Human
Ensure reconciliation completion,4,Document completion,Record reconciliation status,5,Yes,No,No,Not Started,Pip
Ensure reconciliation completion,5,Update tracking,Record final reconciliation status,5,No,Yes,No,Not Started,Pip
Lock previous day's books,1,Access accounting system,Open accounting platform,2,No,Yes,No,Not Started,Pip
Lock previous day's books,2,Verify completeness,Check all required entries are posted,15,Yes,No,No,Not Started,Human
Lock previous day's books,3,Set period lock,Apply period lock to previous day,5,No,Yes,No,Not Started,Pip
Lock previous day's books,4,Document lock,Record period lock details,5,Yes,No,No,Not Started,Human
Lock previous day's books,5,Update status,Record lock status in system,5,No,Yes,No,Not Started,Pip
Back up financial database,1,Access backup system,Open database backup platform,2,No,Yes,No,Not Started,Pip
Back up financial database,2,Initiate backup,Start database backup process,10,No,Yes,No,Not Started,Human
Back up financial database,3,Monitor progress,Watch backup completion,5,No,Yes,No,Not Started,Human
Back up financial database,4,Verify backup,Check backup integrity,10,Yes,No,No,Not Started,Human
Back up financial database,5,Document backup,Record backup details,5,No,Yes,No,Not Started,Pip
Document manual adjustments,1,Access adjustment log,Open adjustment tracking system,2,No,Yes,No,Not Started,Pip
Document manual adjustments,2,Review adjustments,Check all manual adjustments,15,Yes,No,No,Not Started,Human
Document manual adjustments,3,Verify approvals,Confirm all required approvals,10,Yes,No,No,Not Started,Human
Document manual adjustments,4,Record details,Document adjustment information,5,Yes,No,No,Not Started,Human
Document manual adjustments,5,Update system,Record adjustments in tracking system,5,No,Yes,No,Not Started,Pip
Update audit trail,1,Access audit system,Open audit trail management platform,2,No,Yes,No,Not Started,Pip
Update audit trail,2,Review activities,Check all close activities,15,Yes,No,No,Not Started,Human
Update audit trail,3,Document changes,Record all system changes,10,Yes,No,No,Not Started,Human
Update audit trail,4,Verify completeness,Check audit trail completeness,10,Yes,No,No,Not Started,Human
Update audit trail,5,Save trail,Record final audit trail,5,No,Yes,No,Not Started,Pip
Certify daily close completion,1,Access close system,Open close management platform,2,No,Yes,No,Not Started,Pip
Certify daily close completion,2,Review checklist,Verify all steps are complete,15,Yes,No,No,Not Started,Human
Certify daily close completion,3,Check approvals,Confirm all required approvals,10,Yes,No,No,Not Started,Human
Certify daily close completion,4,Document certification,Record close certification,5,Yes,No,No,Not Started,Human
Certify daily close completion,5,Update status,Record final close status,5,No,Yes,No,Not Started,Pip 
